no,no,no,no,no,no,no,no,no,no,no,no,no
13.94253217,40.31179222,-4.583776316,-2.000583133,-4.875994761,15.75477635,-5.942648757,24.40378786,-5.338490778,-8.818519601,-0.132031394,25.4567619,31.63239424
10.05238654,51.79107502,-11.05986295,-4.642065385,-1.168039694,14.25150826,-6.889283933,24.49008999,-5.170459932,-8.808883422,-0.127847989,25.45894601,31.63243749
-0.832767676,41.3045221,-18.2425937,-7.031425101,2.524947573,12.68308361,-7.828278809,24.55302964,-5.001304221,-8.799174046,-0.123640616,25.46112005,31.6324812
-13.56030851,16.00148657,-25.07437151,-9.054730343,6.136387086,11.05956102,-8.75615589,24.59215002,-4.831026047,-8.789392363,-0.119409434,25.46328405,31.63252535
-14.85919124,-14.72387689,-30.2508237,-10.62695911,9.62860882,9.390999125,-9.669437678,24.60699436,-4.659627814,-8.779539266,-0.115154601,25.46543802,31.63256996
10.47739212,-40.85317682,-32.46757754,-11.68553866,12.98639203,7.687456536,-10.56464668,24.59710921,-4.487115265,-8.769615646,-0.110876278,25.46758198,31.63261501
15.24457979,-49.28635205,-30.40058615,-12.20128086,16.20822636,5.958991878,-11.43830539,24.56205598,-4.313509006,-8.759622396,-0.106574623,25.46971595,31.63266052
4.066988446,-41.42917373,-23.21075192,-12.22991286,19.29881995,4.215663773,-12.28693631,24.50140578,-4.138839329,-8.749560408,-0.102249795,25.47183994,31.63270647
-15.48633673,-19.25725719,-12.2938874,-11.83146396,22.2475089,2.467530844,-13.10706196,24.41473265,-3.963139471,-8.739430573,-0.097901954,25.47395396,31.63275288
-3.590272148,13.16134994,0.39054877,-11.04195671,25.01962255,0.724651711,-13.89520483,24.30161089,-3.786442913,-8.729233783,-0.093531258,25.47605804,31.63279973
15.5964356,40.11247019,12.88309796,-9.892154638,27.57523122,-1.002915002,-14.64788742,24.16161476,-3.608783104,-8.71897093,-0.089137867,25.47815219,31.63284704
7.556978812,47.13998722,23.22430151,-8.412821264,29.87522103,-2.705926469,-15.36163225,23.99431852,-3.430193494,-8.708642907,-0.08472194,25.48023642,31.6328948
-9.447333153,36.40991878,29.84444964,-6.634720113,31.88374127,-4.378403043,-16.0329618,23.79929643,-3.250707529,-8.698250604,-0.080283635,25.48231076,31.63294301
-15.60582356,14.99991994,32.73282783,-4.58861471,33.56619058,-6.015614425,-16.65839859,23.57612354,-3.07035945,-8.687794915,-0.075823113,25.48437521,31.63299166
1.68548954,-9.465408262,32.27597549,-2.312773651,34.89002307,-7.614885781,-17.23446512,23.32437805,-2.889186652,-8.677276731,-0.071340532,25.4864298,31.63304077
14.69543751,-28.34631422,28.90038819,0.114578319,35.82491539,-9.175764818,-17.75768388,23.04363896,-2.70722732,-8.666696943,-0.066836051,25.48847453,31.63309034
